N(玩家人數),k(每位玩家基準對數),pairs(使用對數),total_cards(總牌數),trials(模擬局數),odd_loss_rate(奇數玩家輸率),others_loss_rate_mean(其他玩家平均輸率),loss_rate_diff_odd_minus_others(奇數玩家輸率減其他玩家平均輸率),odd_first_out_rate(奇數玩家首位出局比例),others_first_out_rate_mean(其他玩家平均首位出局比例),odd_avg_rank(奇數玩家平均名次),others_avg_rank_mean(其他玩家平均名次),avg_turns(平均回合數),avg_initial_clears(平均開局整理後出局人數),passive_elimination_count(被動出局次數),invariant_violation_count(奇偶不變量違反次數),final_joker_error_count(結局落單牌檢查錯誤次數)
2,13,26,53,10000000,0.5020966000,0.4979034000,0.0041932000,0.4979034000,0.5020966000,1.5020966000,1.4979034000,15.1807256000,0.0000000000,0,0,0
3,8,24,49,10000000,0.3351253000,0.3324373500,0.0026879500,0.3315055000,0.3342472500,2.0036198000,1.9981901000,37.6513912000,0.0000002000,0,0,0
4,6,24,49,10000000,0.2519555000,0.2493481667,0.0026073333,0.2447248000,0.2517584000,2.5105513000,2.4964829000,69.2122322000,0.0000052000,0,0,0
5,5,25,51,10000000,0.2024724000,0.1993819000,0.0030905000,0.1915155000,0.2021211250,3.0233545000,2.9941613750,112.3281940000,0.0000160000,0,0,0
6,4,24,49,10000000,0.1703778000,0.1659244400,0.0044533600,0.1537935000,0.1692413000,3.5473552000,3.4905289600,153.4055508000,0.0001169000,0,0,0
7,3,21,43,10000000,0.1484570000,0.1419238333,0.0065331667,0.1218147000,0.1463642167,4.0977753000,3.9837041167,178.3155414000,0.0013307000,0,0,0
8,3,24,49,10000000,0.1298183000,0.1243116714,0.0055066286,0.1044801000,0.1279314143,4.6156419000,4.4834797286,260.9129814000,0.0010025000,0,0,0
9,2,18,37,10000000,0.1201066000,0.1099866750,0.0101199250,0.0749254000,0.1156343250,5.2601985000,4.9674751875,233.1323473000,0.0184685000,0,0,0
10,2,20,41,10000000,0.1080476000,0.0991058222,0.0089417778,0.0653128000,0.1038541333,5.7937147000,5.4673650333,313.3481867000,0.0168213000,0,0,0
11,2,22,45,10000000,0.0983171000,0.0901682900,0.0081488100,0.0578925000,0.0942107500,6.3231570000,5.9676843000,410.0041400000,0.0154832000,0,0,0
12,2,24,49,10000000,0.0899568000,0.0827312000,0.0072256000,0.0515326000,0.0862243091,6.8567919000,6.4675643727,524.6362275000,0.0143173000,0,0,0
13,2,26,53,10000000,0.0831335000,0.0764055417,0.0067279583,0.0464541000,0.0794621583,7.3879666000,6.9676694500,658.6297800000,0.0133022000,0,0,0
