rule_id(規則代號),N(玩家人數),k(每位玩家基準對數),pairs(使用對數),total_cards(總牌數),trials(模擬局數),seat(玩家座位),is_initial_odd_player(是否為開局奇數玩家),initial_hand_size(開局手牌數),initial_joker_probability(開局持有落單牌機率),loss_count(輸的次數),loss_rate(輸的比例),loss_rate_se(輸率標準誤),loss_rate_ci95_low(輸率95信賴區間下限),loss_rate_ci95_high(輸率95信賴區間上限),first_out_credit_rate(首位出局比例),initial_clear_rate(開局整理後出局比例),active_exit_rate(自己行動後出局比例),avg_rank(平均名次)
balanced_odd_T_2kN_plus_1,2,13,26,53,10000000,0,是,27,0.5094339623,5020966,0.5020966000,0.0001581125,0.5017866995,0.5024065005,0.4979034000,0.0000000000,0.4979034000,1.5020966000
balanced_odd_T_2kN_plus_1,2,13,26,53,10000000,1,否,26,0.4905660377,4979034,0.4979034000,0.0001581125,0.4975934995,0.4982133005,0.5020966000,0.0000000000,0.5020966000,1.4979034000
balanced_odd_T_2kN_plus_1,3,8,24,49,10000000,0,是,17,0.3469387755,3351253,0.3351253000,0.0001492703,0.3348327301,0.3354178699,0.3315055000,0.0000000000,0.6648747000,2.0036198000
balanced_odd_T_2kN_plus_1,3,8,24,49,10000000,1,否,16,0.3265306122,3355010,0.3355010000,0.0001493118,0.3352083489,0.3357936511,0.3283280000,0.0000001000,0.6644989000,2.0071730000
balanced_odd_T_2kN_plus_1,3,8,24,49,10000000,2,否,16,0.3265306122,3293737,0.3293737000,0.0001486226,0.3290823998,0.3296650002,0.3401665000,0.0000001000,0.6706262000,1.9892072000
balanced_odd_T_2kN_plus_1,4,6,24,49,10000000,0,是,13,0.2653061224,2519555,0.2519555000,0.0001372858,0.2516864198,0.2522245802,0.2447248000,0.0000000000,0.7480445000,2.5105513000
balanced_odd_T_2kN_plus_1,4,6,24,49,10000000,1,否,12,0.2448979592,2520638,0.2520638000,0.0001373054,0.2517946815,0.2523329185,0.2456052000,0.0000016000,0.7479346000,2.5109111000
balanced_odd_T_2kN_plus_1,4,6,24,49,10000000,2,否,12,0.2448979592,2481851,0.2481851000,0.0001365977,0.2479173686,0.2484528314,0.2542716000,0.0000017000,0.7518132000,2.4907179000
balanced_odd_T_2kN_plus_1,4,6,24,49,10000000,3,否,12,0.2448979592,2477956,0.2477956000,0.0001365258,0.2475280094,0.2480631906,0.2553984000,0.0000019000,0.7522025000,2.4878197000
balanced_odd_T_2kN_plus_1,5,5,25,51,10000000,0,是,11,0.2156862745,2024724,0.2024724000,0.0001270737,0.2022233355,0.2027214645,0.1915155000,0.0000000000,0.7975276000,3.0233545000
