rule_id(規則代號),N(玩家人數),k(每位玩家基準對數),pairs(使用對數),total_cards(總牌數),trials(模擬局數),seat(玩家座位),is_initial_odd_player(是否為開局奇數玩家),initial_hand_size(開局手牌數),initial_joker_probability(開局持有落單牌機率),loss_count(輸的次數),loss_rate(輸的比例),loss_rate_se(輸率標準誤),loss_rate_ci95_low(輸率95信賴區間下限),loss_rate_ci95_high(輸率95信賴區間上限),first_out_credit_rate(首位出局比例),initial_clear_rate(開局整理後出局比例),active_exit_rate(自己行動後出局比例),avg_rank(平均名次)
balanced_odd_T_2kN_minus_1,2,13,25,51,10000000,0,是,25,0.4901960784,5006444,0.5006444000,0.0001581138,0.5003344970,0.5009543030,0.4993556000,0.0000000000,0.4993556000,1.5006444000
balanced_odd_T_2kN_minus_1,2,13,25,51,10000000,1,否,26,0.5098039216,4993556,0.4993556000,0.0001581138,0.4990456970,0.4996655030,0.5006444000,0.0000000000,0.5006444000,1.4993556000
balanced_odd_T_2kN_minus_1,3,8,23,47,10000000,0,是,15,0.3191489362,3350863,0.3350863000,0.0001492660,0.3347937386,0.3353788614,0.3306988000,0.0000000000,0.6649137000,2.0043875000
balanced_odd_T_2kN_minus_1,3,8,23,47,10000000,1,否,16,0.3404255319,3329754,0.3329754000,0.0001490311,0.3326832990,0.3332675010,0.3333076000,0.0000006000,0.6670240000,1.9996678000
balanced_odd_T_2kN_minus_1,3,8,23,47,10000000,2,否,16,0.3404255319,3319383,0.3319383000,0.0001489145,0.3316464276,0.3322301724,0.3359936000,0.0000002000,0.6680615000,1.9959447000
balanced_odd_T_2kN_minus_1,4,6,23,47,10000000,0,是,11,0.2340425532,2515377,0.2515377000,0.0001372102,0.2512687679,0.2518066321,0.2470218000,0.0000000000,0.7484623000,2.5070650000
balanced_odd_T_2kN_minus_1,4,6,23,47,10000000,1,否,12,0.2553191489,2497533,0.2497533000,0.0001368856,0.2494850043,0.2500215957,0.2507597000,0.0000022000,0.7502445000,2.4986074000
balanced_odd_T_2kN_minus_1,4,6,23,47,10000000,2,否,12,0.2553191489,2490691,0.2490691000,0.0001367603,0.2488010499,0.2493371501,0.2521065000,0.0000021000,0.7509288000,2.4952153000
balanced_odd_T_2kN_minus_1,4,6,23,47,10000000,3,否,12,0.2553191489,2496399,0.2496399000,0.0001368648,0.2493716449,0.2499081551,0.2501120000,0.0000023000,0.7503578000,2.4991123000
balanced_odd_T_2kN_minus_1,5,5,24,49,10000000,0,是,9,0.1836734694,2008781,0.2008781000,0.0001266989,0.2006297702,0.2011264298,0.1969658000,0.0000000000,0.7991219000,3.0085597000
